yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
190001,274.554,34.741,nan,nan,0.00601738,0
190002,274.553,34.7412,nan,nan,0.00592542,0
190003,274.553,34.7416,nan,nan,0.00589221,0
190004,274.552,34.742,nan,nan,0.00906224,0.00237731
190005,274.551,34.7423,nan,nan,0.00836618,0.00565059
190006,274.552,34.7421,nan,nan,0.00893477,0.00614437
190007,274.552,34.7417,nan,nan,0.0167791,0.0151893
190008,274.553,34.7414,nan,nan,0.0164237,0.0151037
190009,274.553,34.7411,nan,nan,0.014642,0.00889937
190010,274.553,34.7409,nan,nan,0.00942592,0.0049201
190011,274.553,34.7408,nan,nan,0.00760031,0.0061354
190012,274.554,34.7408,nan,nan,0.00723838,0.00511621
190101,274.554,34.741,nan,nan,0.00587677,0.00613719
190102,274.553,34.7412,nan,nan,0.0102023,0.00871796
190103,274.553,34.7416,nan,nan,0.00990117,0.00798028
190104,274.552,34.742,nan,nan,0.0120018,0.00693668
190105,274.551,34.7423,nan,nan,0.0137038,0.0131564
190106,274.552,34.7421,nan,nan,0.0141434,0.0108269
190107,274.553,34.7418,nan,nan,0.030949,0.0188818
190108,274.553,34.7414,nan,nan,0.0163211,0.0113646
190109,274.553,34.7412,nan,nan,0.0116686,0.00749127
190110,274.555,34.7408,nan,nan,0.0185848,0.0114861
190111,274.555,34.7405,nan,nan,0.0089848,0.00544012
190112,274.555,34.7406,nan,nan,0.00564439,0.00249103
190201,274.555,34.7408,nan,nan,0.00661448,0.00393983
190202,274.555,34.741,nan,nan,0.0109076,0.0107435
190203,274.554,34.7414,nan,nan,0.00324771,0
190204,274.554,34.7419,nan,nan,0.00997591,0.00423264
190205,274.553,34.7421,nan,nan,0.0101398,0.00969442
190206,274.553,34.742,nan,nan,0.0163934,0.0141964
190207,274.553,34.7416,nan,nan,0.0129819,0.0106166
190208,274.554,34.7412,nan,nan,0.0268578,0.0210878
190209,274.555,34.741,nan,nan,0.022956,0.00947653
190210,274.555,34.7407,nan,nan,0.0103352,0.00977754
190211,274.555,34.7406,nan,nan,0.0141475,0.0102185
190212,274.555,34.7407,nan,nan,0.0193975,0.00969487
190301,274.555,34.7409,nan,nan,0.00928849,0.00483705
190302,274.554,34.7411,nan,nan,0.0210563,0.019246
190303,274.555,34.7415,nan,nan,0.0120792,0.0132556
190304,274.554,34.7419,nan,nan,0.0208844,0.015439
190305,274.554,34.7416,nan,nan,0.0348022,0.0263447
190306,274.554,34.7415,nan,nan,0.0149151,0.0146779
190307,274.554,34.7412,nan,nan,0.0150443,0.0160357
190308,274.555,34.7408,nan,nan,0.0237906,0.0223254
190309,274.557,34.7406,nan,nan,0.0253089,0.0245019
190310,274.556,34.7404,nan,nan,0.0107003,0.00758923
190311,274.556,34.7403,nan,nan,0.0161641,0.0151712
190312,274.556,34.7404,nan,nan,0.0106778,0.00320166
190401,274.556,34.7406,nan,nan,0.00659537,0.00612012
190402,274.556,34.7408,nan,nan,0.0143255,0.0160164
190403,274.555,34.7412,nan,nan,0.0133235,0.0110279
190404,274.554,34.7417,nan,nan,0.0155937,0.0148979
190405,274.553,34.7419,nan,nan,0.0193148,0.0182675
190406,274.553,34.7418,nan,nan,0.015774,0.0162052
190407,274.554,34.7414,nan,nan,0.0138939,0.012501
190408,274.555,34.7415,nan,nan,0.0281421,0.0260999
190409,274.556,34.7413,nan,nan,0.0188255,0.0151207
190410,274.556,34.7411,nan,nan,0.0102225,0.0111136
190411,274.556,34.7409,nan,nan,0.0127449,0.0131144
190412,274.556,34.741,nan,nan,0.0094475,0.00890065
190501,274.556,34.7411,nan,nan,0.010991,0.011913
190502,274.555,34.7413,nan,nan,0.0123349,0.0128512
190503,274.555,34.7417,nan,nan,0.0132174,0.0142502
190504,274.554,34.7421,nan,nan,0.00960919,0.00954405
190505,274.553,34.7423,nan,nan,0.0161538,0.0157445
190506,274.553,34.7422,nan,nan,0.0177606,0.0167085
190507,274.554,34.7419,nan,nan,0.0292491,0.0205808
190508,274.556,34.7418,nan,nan,0.0292461,0.0257203
190509,274.556,34.7416,nan,nan,0.0261015,0.0171061
190510,274.557,34.7414,nan,nan,0.0138118,0.00694994
190511,274.558,34.7412,nan,nan,0.0237994,0.0160873
190512,274.557,34.7412,nan,nan,0.0141985,0.00822721
190601,274.557,34.7413,nan,nan,0.0101839,0.0102322
190602,274.558,34.7413,nan,nan,0.024924,0.0237503
190603,274.557,34.7414,nan,nan,0.0316599,0.0278742
190604,274.556,34.7419,nan,nan,0.0243517,0.0194059
190605,274.555,34.7422,nan,nan,0.0237618,0.0216268
190606,274.555,34.7418,nan,nan,0.0278368,0.0291523
190607,274.555,34.7416,nan,nan,0.025191,0.0321646
190608,274.556,34.7412,nan,nan,0.0250155,0.0267282
190609,274.557,34.741,nan,nan,0.0275612,0.0269766
190610,274.556,34.7408,nan,nan,0.0157913,0.0209147
190611,274.556,34.7407,nan,nan,0.0190784,0.0150779
190612,274.556,34.7408,nan,nan,0.012636,0.00584333
190701,274.556,34.7409,nan,nan,0.0116064,0.0156989
190702,274.556,34.7411,nan,nan,0.0148176,0.0163927
190703,274.555,34.7415,nan,nan,0.0105912,0.0102945
190704,274.554,34.742,nan,nan,0.0218108,0.02015
190705,274.553,34.7422,nan,nan,0.0146854,0.0151012
190706,274.553,34.742,nan,nan,0.0121665,0.0121422
190707,274.553,34.7417,nan,nan,0.0185889,0.0188996
190708,274.554,34.7413,nan,nan,0.0221694,0.0234124
190709,274.554,34.7411,nan,nan,0.0223207,0.0208643
190710,274.554,34.7408,nan,nan,0.00671716,0.00589743
190711,274.554,34.7407,nan,nan,0.0146288,0.0095538
190712,274.554,34.7408,nan,nan,0.0103512,0.007245
190801,274.554,34.741,nan,nan,0.0147315,0.0117113
190802,274.554,34.7412,nan,nan,0.0157933,0.010724
190803,274.553,34.7415,nan,nan,0.0131468,0.00880754
190804,274.553,34.742,nan,nan,0.0107346,0.00901485
190805,274.552,34.7422,nan,nan,0.0271033,0.0220489
190806,274.552,34.7421,nan,nan,0.0285459,0.0284629
190807,274.553,34.7417,nan,nan,0.0305888,0.0319077
190808,274.553,34.7414,nan,nan,0.0269045,0.0257207
190809,274.553,34.7411,nan,nan,0.024131,0.0243318
190810,274.554,34.7409,nan,nan,0.0207307,0.0163753
190811,274.554,34.7407,nan,nan,0.0150566,0.0141194
190812,274.554,34.7408,nan,nan,0.0166624,0.0156426
190901,274.554,34.741,nan,nan,0.0201174,0.0142509
190902,274.554,34.7412,nan,nan,0.0182515,0.0159024
190903,274.553,34.7415,nan,nan,0.0159002,0.0113365
190904,274.552,34.742,nan,nan,0.0214255,0.015454
190905,274.552,34.7422,nan,nan,0.0262041,0.0197879
190906,274.552,34.7421,nan,nan,0.0290572,0.026653
190907,274.553,34.7417,nan,nan,0.0202635,0.0193948
190908,274.553,34.7414,nan,nan,0.0224123,0.0141002
190909,274.554,34.7411,nan,nan,0.0198866,0.0183163
190910,274.554,34.7409,nan,nan,0.0187687,0.00965403
190911,274.554,34.7407,nan,nan,0.0214941,0.0176626
190912,274.554,34.7408,nan,nan,0.0122178,0.0102237
191001,274.554,34.741,nan,nan,0.0133298,0.0108661
191002,274.554,34.7412,nan,nan,0.0104557,0.010404
191003,274.553,34.7416,nan,nan,0.0103441,0.00882163
191004,274.552,34.742,nan,nan,0.0176066,0.0158917
191005,274.552,34.7422,nan,nan,0.0227631,0.0206057
191006,274.551,34.742,nan,nan,0.0450112,0.0401319
191007,274.552,34.7416,nan,nan,0.0434792,0.0427711
191008,274.552,34.7413,nan,nan,0.0333675,0.0319397
191009,274.553,34.741,nan,nan,0.024909,0.0240283
191010,274.553,34.7408,nan,nan,0.00987449,0.00959976
191011,274.553,34.7407,nan,nan,0.0105782,0.00809465
191012,274.553,34.7408,nan,nan,0.0111931,0.0107414
191101,274.553,34.7409,nan,nan,0.00989711,0.0101894
191102,274.553,34.7411,nan,nan,0.0143636,0.012907
191103,274.553,34.7415,nan,nan,0.0123073,0.0116808
191104,274.552,34.742,nan,nan,0.0103652,0.00991752
191105,274.551,34.7421,nan,nan,0.0251129,0.0214515
191106,274.553,34.7421,nan,nan,0.0463774,0.0387087
191107,274.553,34.7413,nan,nan,0.0559635,0.0604728
191108,274.553,34.7408,nan,nan,0.0543959,0.0536322
191109,274.553,34.7405,nan,nan,0.0306289,0.030591
191110,274.553,34.7404,nan,nan,0.0241114,0.0217385
191111,274.553,34.7403,nan,nan,0.0182155,0.0162187
191112,274.553,34.7404,nan,nan,0.010276,0.0100625
191201,274.553,34.7407,nan,nan,0.019369,0.023048
191202,274.553,34.741,nan,nan,0.0135413,0.013664
191203,274.553,34.7414,nan,nan,0.00948946,0.00958438
191204,274.552,34.7419,nan,nan,0.0149037,0.0104227
191205,274.551,34.7421,nan,nan,0.017514,0.0184388
191206,274.552,34.742,nan,nan,0.019649,0.014246
191207,274.552,34.7416,nan,nan,0.0292306,0.0255828
191208,274.552,34.7413,nan,nan,0.0294644,0.0296647
